bins,N_F127,N_F139
1.0146002635972133e-17,1.0,0.0
1.0442271261858559e-17,0.0,7.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,12.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,16.0
1.2773060546555964e-17,0.0,8.0
1.3146040648401728e-17,0.0,9.0
1.3529911965854419e-17,0.0,2.0
1.3924992528151547e-17,0.0,15.0
1.433160965115208e-17,0.0,14.0
1.4750100208510512e-17,0.0,10.0
1.518081091076964e-17,0.0,6.0
1.5624098592603015e-17,0.0,7.0
1.608033050844472e-17,0.0,11.0
1.6549884636751994e-17,0.0,2.0
1.703314999315216e-17,0.0,5.0
1.7530526952733946e-17,0.0,3.0
1.8042427581749878e-17,0.0,7.0
1.8569275979004237e-17,0.0,7.0
1.911150862721004e-17,0.0,2.0
1.9669574754605483e-17,0.0,3.0
2.0243936707130144e-17,0.0,7.0
2.0835070331468946e-17,0.0,13.0
2.1443465369280792e-17,0.0,7.0
2.2069625862939314e-17,0.0,14.0
2.2714070573120982e-17,0.0,15.0
2.3377333408587523e-17,0.0,16.0
2.4059963868518158e-17,1.0,12.0
2.476252749775774e-17,3.0,38.0
2.5485606355358856e-17,3.0,49.0
2.622979949680507e-17,8.0,77.0
2.6995723470315875e-17,11.0,183.0
2.7784012827644056e-17,25.0,279.0
2.8595320649787966e-17,43.0,595.0
2.9430319088055564e-17,72.0,1006.0
3.028969992092711e-17,182.0,1875.0
3.1174175127179154e-17,481.0,3242.0
3.208447747574417e-17,1911.0,5908.0
3.30213611327936e-17,6417.0,9926.0
3.398560228654886e-17,19340.0,16477.0
3.497799979033633e-17,48879.0,26176.0
3.599937582442069e-17,102061.0,40100.0
3.705057657716406e-17,170900.0,57621.0
3.8132472946074725e-17,237930.0,78305.0
3.9245961259327476e-17,287221.0,101653.0
4.0391964018352033e-17,307787.0,124951.0
4.157143066210622e-17,303185.0,145801.0
4.278533835366627e-17,282160.0,163872.0
4.4034692789785234e-17,253913.0,175748.0
4.532052903409177e-17,223702.0,182187.0
4.664391237461775e-17,194704.0,183493.0
4.800593920636722e-17,168422.0,180707.0
4.940773793965673e-17,145238.0,175112.0
5.085046993497877e-17,125693.0,166435.0
5.23353304651647e-17,108400.0,158422.0
5.386354970564226e-17,93671.0,147757.0
5.5436393753610206e-17,81748.0,137991.0
5.705516567697344e-17,71022.0,127716.0
5.872120659390641e-17,61884.0,117676.0
6.043589678394156e-17,54299.0,108315.0
6.220065683150085e-17,47926.0,99259.0
6.401694880282029e-17,42969.0,90562.0
6.588627745724125e-17,38121.0,82698.0
6.781019149387095e-17,34505.0,75361.0
6.979028483464728e-17,31087.0,68631.0
7.182819794486845e-17,27891.0,62535.0
7.392561919228423e-17,25570.0,57271.0
7.608428624587335e-17,23292.0,52130.0
7.83059875154645e-17,21464.0,47776.0
8.059256363339657e-17,19664.0,43738.0
8.294590897944246e-17,18140.0,40412.0
8.536797325026309e-17,16877.0,36647.0
8.786076307469047e-17,15502.0,34037.0
9.042634367617603e-17,14151.0,31177.0
9.306684058378515e-17,13608.0,28685.0
9.578444139315172e-17,12591.0,26856.0
9.858139757885539e-17,11979.0,24684.0
1.0146002635972133e-16,11081.0,23011.0
1.0442271261858581e-16,10510.0,21552.0
1.0747191087812081e-16,9882.0,19977.0
1.106101473343546e-16,9325.0,18622.0
1.1384002194957118e-16,8602.0,17454.0
1.1716421060632374e-16,8272.0,16560.0
1.2058546732434745e-16,7708.0,15527.0
1.2410662654220495e-16,7502.0,14646.0
1.2773060546555937e-16,7163.0,13716.0
1.3146040648401728e-16,6634.0,13095.0
1.3529911965854418e-16,6522.0,12432.0
1.3924992528151577e-16,6047.0,11790.0
1.433160965115208e-16,5967.0,11048.0
1.4750100208510482e-16,5538.0,10677.0
1.518081091076964e-16,5292.0,9849.0
