bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,1.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,1.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,2.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,1.0,0.0
1.433160965115208e-17,0.0,1.0
1.4750100208510512e-17,2.0,0.0
1.518081091076964e-17,1.0,2.0
1.5624098592603015e-17,1.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,1.0,0.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,0.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,1.0,4.0
1.911150862721004e-17,2.0,1.0
1.9669574754605483e-17,0.0,1.0
2.0243936707130144e-17,2.0,7.0
2.0835070331468946e-17,0.0,0.0
2.1443465369280792e-17,0.0,0.0
2.2069625862939314e-17,1.0,0.0
2.2714070573120982e-17,1.0,0.0
2.3377333408587523e-17,1.0,2.0
2.4059963868518158e-17,1.0,2.0
2.476252749775774e-17,0.0,3.0
2.5485606355358856e-17,2.0,5.0
2.622979949680507e-17,1.0,8.0
2.6995723470315875e-17,8.0,34.0
2.7784012827644056e-17,25.0,54.0
2.8595320649787966e-17,22.0,152.0
2.9430319088055564e-17,75.0,268.0
3.028969992092711e-17,208.0,499.0
3.1174175127179154e-17,785.0,871.0
3.208447747574417e-17,2691.0,1622.0
3.30213611327936e-17,7345.0,2774.0
3.398560228654886e-17,16197.0,4603.0
3.497799979033633e-17,29647.0,7355.0
3.599937582442069e-17,48487.0,11174.0
3.705057657716406e-17,71962.0,16192.0
3.8132472946074725e-17,98671.0,22003.0
3.9245961259327476e-17,123609.0,28645.0
4.0391964018352033e-17,145985.0,35300.0
4.157143066210622e-17,164261.0,42846.0
4.278533835366627e-17,176961.0,49542.0
4.4034692789785234e-17,186805.0,56944.0
4.532052903409177e-17,193054.0,63555.0
4.664391237461775e-17,195061.0,69657.0
4.800593920636722e-17,195574.0,74795.0
4.940773793965673e-17,192878.0,78951.0
5.085046993497877e-17,187784.0,83449.0
5.23353304651647e-17,181590.0,87179.0
5.386354970564226e-17,173444.0,90522.0
5.5436393753610206e-17,164423.0,93269.0
5.705516567697344e-17,155413.0,94847.0
5.872120659390641e-17,145078.0,96918.0
6.043589678394156e-17,136148.0,97546.0
6.220065683150085e-17,126720.0,97440.0
6.401694880282029e-17,117448.0,98027.0
6.588627745724125e-17,109524.0,96163.0
6.781019149387095e-17,102206.0,96015.0
6.979028483464728e-17,95139.0,94370.0
7.182819794486845e-17,87486.0,92663.0
7.392561919228423e-17,81522.0,90862.0
7.608428624587335e-17,75499.0,87593.0
7.83059875154645e-17,70551.0,85521.0
8.059256363339657e-17,65389.0,83110.0
8.294590897944246e-17,61098.0,80841.0
8.536797325026309e-17,56540.0,77494.0
8.786076307469047e-17,52942.0,74304.0
9.042634367617603e-17,49000.0,71630.0
9.306684058378515e-17,45597.0,69129.0
9.578444139315172e-17,41988.0,66314.0
9.858139757885539e-17,39154.0,64132.0
1.0146002635972133e-16,36442.0,61538.0
1.0442271261858581e-16,34167.0,59231.0
1.0747191087812081e-16,31860.0,56649.0
1.106101473343546e-16,29594.0,54212.0
1.1384002194957118e-16,27810.0,52116.0
1.1716421060632374e-16,25936.0,49631.0
1.2058546732434745e-16,24462.0,47201.0
1.2410662654220495e-16,22778.0,45576.0
1.2773060546555937e-16,21447.0,43231.0
1.3146040648401728e-16,20094.0,41264.0
1.3529911965854418e-16,18686.0,39321.0
1.3924992528151577e-16,17628.0,37826.0
1.433160965115208e-16,17126.0,35672.0
1.4750100208510482e-16,16031.0,34452.0
1.518081091076964e-16,15300.0,32317.0
1.5624098592603013e-16,14311.0,30700.0
1.6080330508444753e-16,13563.0,29215.0
1.6549884636751993e-16,13156.0,27797.0
1.7033149993152125e-16,12425.0,26400.0
1.7530526952733944e-16,11803.0,24959.0
